Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Cyprus,Осипов Всеслав Ильясович,Köln,вратарь,4,-30
Anguilla,Петухов Вацлав Аверьянович,Universidad Católica,нападающий,6,3
New Caledonia,Лобанов Каллистрат Гаврилович,Atlético Nacional,полузащитник,3,16
Kyrgyzstan,Васильев Ипполит Фокич,Fenerbahçe,защитник,6,9
Jordan,Гордеев Глеб Игоревич,Lazio,вратарь,6,-4
Falkland Islands (Malvinas),Чернов Парфен Адрианович,Köln,полузащитник,7,14
Argentina,Филатов Гедеон Игнатьевич,Torino,защитник,7,15
Romania,Калинин Каллистрат Валерьянович,Cruzeiro,нападающий,10,21
Albania,Вишняков Антип Ефимович,Saint-Étienne,нападающий,8,6
Equatorial Guinea,Кудряшов Никон Богданович,Panathinaikos,нападающий,7,28
Indonesia,Ефремов Орест Денисович,Feyenoord,вратарь,5,-20
Burundi,Петров Назар Жоресович,Celtic,полузащитник,7,1
Guadeloupe,Сорокин Захар Фролович,Palmeiras,полузащитник,4,23
Djibouti,Селезнев Варлаам Алексеевич,Independiente,нападающий,1,24
Pitcairn,Гусев Велимир Ефремович,Paris Saint-Germain,защитник,8,20
American Samoa,Петухов Геннадий Георгиевич,Dinamo Bucureşti,полузащитник,4,17
Antigua And Barbuda,Гурьев Вадим Ааронович,Schalke,вратарь,3,-14
Viet Nam,Голубев Изяслав Игоревич,Athletic Bilbao,защитник,2,25
Romania,Маслов Ярослав Игнатьевич,Hajduk Split,защитник,1,7
Algeria,Лукин Никита Григорьевич,Partizan,защитник,4,30
Oman,Андреев Мирон Ефремович,A.C. Milan,защитник,9,25
Portugal,Игнатов Аскольд Антонович,Boca Juniors,вратарь,3,-24
France,Пономарев Иван Данилович,Al Ahly,нападающий,4,24
Botswana,Дроздов Петр Анатольевич,Aston Villa,вратарь,5,-9
Bahamas,Гордеев Никита Терентьевич,Grêmio,полузащитник,5,10
Algeria,Исаков Добромысл Марсович,Porto,вратарь,5,-29
Syrian Arab Republic,Овчинников Ираклий Архипович,Galatasaray,полузащитник,1,3
Maldives,Крылов Викентий Терентьевич,Roma,нападающий,10,13
Israel,Трофимов Якуб Евстигнеевич,Olimpia,защитник,3,4
Hungary,Соловьев Елисей Антипович,Napoli,нападающий,9,13
China,Киселев Дементий Анатольевич,Estudiantes,защитник,9,22
Papua New Guinea,Гущин Светозар Даниилович,São Paulo,нападающий,3,29
Cameroon,Гущин Парамон Александрович,Ferencvárosi TC,защитник,4,15
Hong Kong,Макаров Михей Эдгарович,Köln,нападающий,1,17
Morocco,Борисов Автоном Александрович,Corinthians,вратарь,9,-30
Bahamas,Рогов Герасим Авдеевич,América de Cali,полузащитник,8,8
Cape Verde,Терентьев Лев Изотович,Club Brugge,вратарь,7,-29
Netherlands Antilles,Евдокимов Лавр Филимонович,Internacional,нападающий,4,8
Paraguay,Дементьев Лука Афанасьевич,Zamalek,нападающий,1,24
Macedonia,Анисимов Никанор Харлампович,Espérance,вратарь,10,-21
Macedonia,Степанов Онуфрий Федотович,Austria Wien,нападающий,10,27
Taiwan,Горбунов Ипатий Филимонович,Red Star Belgrade,вратарь,4,-17
Botswana,Фомин Всеволод Аверьянович,Chelsea,защитник,9,1
Maldives,Зыков Велимир Викторович,Benfica,защитник,7,19
Slovenia,Игнатьев Ярослав Власович,MTK Budapest,защитник,9,24
Costa Rica,Ершов Ярослав Трофимович,Bayern Munich,защитник,10,18
Philippines,Крюков Тихон Адрианович,Red Star Belgrade,нападающий,6,28
Iceland,Поляков Пров Бориславович,Cruzeiro,полузащитник,3,28
Cote D`ivoire,Туров Кондрат Филатович,Nacional,вратарь,10,-26
Paraguay,Соболев Карл Бориславович,Panathinaikos,нападающий,10,16
India,Голубев Мефодий Валерианович,Panathinaikos,защитник,2,7
Botswana,Панфилов Георгий Терентьевич,Bayern Munich,вратарь,2,-6
Solomon Islands,Бирюков Ананий Аверьянович,Universitario,полузащитник,9,23
Equatorial Guinea,Ермаков Тит Глебович,Malmö,защитник,10,13
Grenada,Виноградов Селиван Трифонович,Club América,нападающий,9,23
Belize,Дроздов Мина Аксёнович,Manchester United,нападающий,10,6
Switzerland,Горбунов Сидор Артемьевич,Inter Milan,нападающий,8,27
Swaziland,Бобылев Исай Жоресович,A.C. Milan,защитник,3,8
Slovenia,Комаров Мокей Елизарович,Estudiantes,полузащитник,10,8
Jordan,Воронов Филимон Фокич,Grêmio,вратарь,7,-29
Mongolia,Ларионов Евстафий Артёмович,Atlético Mineiro,нападающий,7,14
Yemen,Харитонов Амвросий Виленович,Celtic,вратарь,10,-20
Bahrain,Петров Гедеон Федосьевич,Arsenal,защитник,3,19
Switzerland,Королев Алексей Бенедиктович,Athletic Bilbao,вратарь,7,-11
Finland,Матвеев Лавр Харлампьевич,Barcelona,защитник,8,24
Mauritania,Мишин Самуил Чеславович,Internacional,вратарь,3,-25
China,Кошелев Корнил Захарьевич,Újpest,защитник,1,24
Pakistan,Давыдов Мир Жоресович,Club Brugge,полузащитник,6,15
Cocos Islands,Пестов Август Тихонович,Steaua Bucureşti,нападающий,8,4
Bahrain,Зиновьев Григорий Феофанович,Dinamo Bucureşti,нападающий,2,21
South Africa,Гусев Тимофей Арсенович,Flamengo,защитник,3,10
Tunisia,Дьячков Эрнст Вячеславович,Torino,защитник,9,15
Solomon Islands,Бобылев Александр Арсенович,Universitario,защитник,7,18
Tajikistan,Зуев Гурий Ермолаевич,Atlético Mineiro,вратарь,1,-11
Bermuda,Котов Фортунат Харламович,Inter Milan,нападающий,10,19
Virgin Islands (U.S.),Кудряшов Симон Бориславович,São Paulo,вратарь,7,-6
Turkmenistan,Силин Мирон Алексеевич,Torino,нападающий,4,26
Bolivia,Сорокин Бронислав Владленович,Zamalek,нападающий,6,27
Lebanon,Быков Родион Эдгардович,Levski Sofia,защитник,4,15
Colombia,Субботин Евсей Герасимович,Al Ahly,нападающий,10,28
Maldives,Овчинников Ян Егорович,Cerro Porteño,полузащитник,6,14
Djibouti,Орехов Валерьян Афанасьевич,Dinamo Zagreb,защитник,7,18
Aruba,Маслов Парамон Гавриилович,Rapid Wien,вратарь,2,-23
Burkina Faso,Панов Виталий Дорофеевич,Grêmio,полузащитник,7,29
Lithuania,Лебедев Дмитрий Феоктистович,Universitario,вратарь,5,-1
Jamaica,Сысоев Изот Феодосьевич,Aston Villa,вратарь,6,-11
Virgin Islands (U.S.),Носков Сигизмунд Аксёнович,Feyenoord,нападающий,2,12
Cocos Islands,Беляков Ратмир Андреевич,Atlético Nacional,полузащитник,7,22
Haiti,Горшков Павел Филатович,Olympiacos,вратарь,5,-3
Solomon Islands,Веселов Евдоким Тихонович,Partizan,нападающий,7,22
Gibraltar,Князев Гурий Трофимович,Fenerbahçe,полузащитник,8,4
Madagascar,Елисеев Остромир Герасимович,Torino,нападающий,6,16
St Vincent/Grenadines,Лебедев Артем Адамович,Sparta Prague,полузащитник,5,28
Qatar,Никифоров Станимир Фёдорович,Internacional,полузащитник,2,18
Gambia,Воронцов Викторин Андреевич,Cerro Porteño,полузащитник,3,12
French Polynesia,Матвеев Милан Владиславович,Estudiantes,полузащитник,7,12
Lebanon,Сергеев Леон Филимонович,Peñarol,защитник,6,3
Jamaica,Быков Венедикт Игнатович,Atlético Madrid,полузащитник,1,10
Portugal,Калашников Михаил Анисимович,Köln,нападающий,1,14
Suriname,Игнатов Нифонт Захарьевич,Girondins de Bordeaux,полузащитник,1,21
Antarctica,Гурьев Святополк Александрович,Grasshopper Club Zürich,защитник,9,12
Netherlands,Шестаков Ратибор Гавриилович,Újpest,полузащитник,4,13
Djibouti,Блохин Владислав Ильич,Santos,полузащитник,6,2
Suriname,Бобылев Кузьма Жоресович,Atlético Mineiro,вратарь,6,-12
Chile,Титов Азарий Андреевич,Inter Milan,вратарь,7,-17
Russian Federation,Фролов Светозар Витальевич,PSV Eindhoven,полузащитник,6,25
Burundi,Игнатьев Аверкий Устинович,Valencia,защитник,9,10
Cook Islands,Борисов Наркис Фадеевич,Roma,полузащитник,10,21
Greece,Александров Елисей Анатольевич,Ferencvárosi TC,вратарь,8,-13
Senegal,Шестаков Валерьян Федосьевич,Bayern Munich,вратарь,8,-5
San Marino,Большаков Аполлинарий Игнатьевич,Galatasaray,защитник,5,21
Senegal,Самойлов Мариан Чеславович,Monaco,защитник,5,27
Peru,Алексеев Евсей Феликсович,Al Ahly,нападающий,3,11
Reunion,Чернов Всемил Дмитриевич,Grasshopper Club Zürich,полузащитник,7,23
Togo,Панфилов Владислав Феоктистович,Slavia Prague,защитник,8,4
Netherlands Antilles,Бобылев Никон Елизарович,Malmö,вратарь,10,-1
Oman,Анисимов Евдоким Феодосьевич,Al Ahly,полузащитник,3,26
Philippines,Дроздов Эмиль Августович,Arsenal,вратарь,8,-24
Sudan,Копылов Измаил Анатольевич,Red Star Belgrade,защитник,7,1
Marshall Islands,Мельников Боян Феодосьевич,Spartak Moscow,нападающий,1,14
Trinidad And Tobago,Туров Савелий Трофимович,Real Madrid,полузащитник,1,3
El Salvador,Сергеев Ипатий Антонович,Universidad de Chile,полузащитник,1,7
Montserrat,Фокин Борис Вячеславович,Olimpia,вратарь,4,-2
San Marino,Горбунов Аристарх Иосипович,Olympique Lyonnais,защитник,1,20
Tokelau,Гордеев Алексей Богданович,Barcelona,вратарь,1,-27
Mexico,Елисеев Пимен Эдгардович,Atlético Mineiro,вратарь,1,-13
Japan,Ларионов Лазарь Всеволодович,Club Brugge,вратарь,5,-5
Taiwan,Кудрявцев Эраст Вилорович,Athletic Bilbao,вратарь,1,-22
Micronesia,Рожков Харлампий Геннадиевич,Linfield,полузащитник,2,2
Barbados,Афанасьев Назар Артемьевич,Hamburger SV,нападающий,10,14
Kuwait,Прохоров Трифон Владленович,Palmeiras,нападающий,3,18
Luxembourg,Беляков Станимир Аксёнович,Libertad,защитник,1,11
Zaire,Горбунов Аркадий Валерианович,Anderlecht,вратарь,4,-5
Nepal,Савельев Амвросий Артёмович,Dinamo Zagreb,защитник,1,7
Niue,Красильников Стоян Григорьевич,Peñarol,защитник,3,22
Taiwan,Макаров Савелий Власович,Schalke,вратарь,1,-5
Montserrat,Жуков Эрнст Арсеньевич,Corinthians,защитник,9,13
Puerto Rico,Фомичев Владлен Адамович,Racing,вратарь,1,-11
Dominican Republic,Исаев Всеслав Юлианович,Panathinaikos,защитник,1,9
Taiwan,Стрелков Гордей Антонович,Peñarol,защитник,4,19
Tunisia,Макаров Давыд Арсеньевич,Olympique Marseille,защитник,5,30
Paraguay,Васильев Евстафий Дорофеевич,Juventus,нападающий,8,29
Guadeloupe,Новиков Эдуард Димитриевич,Hajduk Split,защитник,3,25
Madagascar,Попов Сидор Устинович,Santos,полузащитник,4,13
Philippines,Лихачев Фока Ильясович,Cerro Porteño,вратарь,1,-30
United Arab Emirates,Данилов Клавдий Ермолаевич,Hajduk Split,нападающий,10,11
Barbados,Романов Пахом Яковлевич,Valencia,нападающий,4,28
Suriname,Сысоев Денис Феодосьевич,Ferencvárosi TC,вратарь,9,-25
Saudi Arabia,Кондратьев Симон Трофимович,Galatasaray,нападающий,10,4
Peru,Нестеров Мина Андреевич,Flamengo,вратарь,6,-25
Viet Nam,Семенов Агафон Феликсович,Juventus,вратарь,4,-20
Mozambique,Денисов Спартак Харлампьевич,Cruzeiro,полузащитник,2,3
Paraguay,Мартынов Савва Германович,Cerro Porteño,нападающий,2,5
Benin,Савин Станислав Бориславович,Napoli,вратарь,10,-16
Netherlands,Калинин Никита Афанасьевич,Fenerbahçe,нападающий,7,11
French Guiana,Медведев Герасим Эдгардович,Cruzeiro,защитник,10,21
Sierra Leone,Русаков Антонин Теймуразович,Anderlecht,нападающий,8,23
Oman,Исаков Парфен Федосьевич,IFK Göteborg,полузащитник,7,17
Tajikistan,Котов Мирон Давыдович,Espérance,полузащитник,6,18
Sao Tome,Кириллов Панкрат Давидович,Bayern Munich,защитник,5,25
Albania,Лазарев Ипполит Гертрудович,Újpest,защитник,9,2
Christmas Island,Стрелков Валерий Ануфриевич,Universidad de Chile,защитник,6,3
Bermuda,Рябов Гурий Давыдович,São Paulo,вратарь,6,-1
Uganda,Рогов Демьян Гаврилович,Cerro Porteño,нападающий,7,5
Malta,Горбачев Карп Вилорович,Independiente,нападающий,6,25
French Polynesia,Доронин Антонин Анатольевич,Borussia Dortmund,нападающий,7,9
Bahrain,Наумов Иван Филатович,Peñarol,вратарь,2,-15
St. Helena,Сорокин Пимен Валерьянович,Universidad Católica,вратарь,8,-4
French S. Territories,Лукин Корнил Харитонович,Partizan,полузащитник,5,27
Kuwait,Шилов Гордей Архипович,Paris Saint-Germain,вратарь,9,-3
Czech Republic,Александров Чеслав Федосеевич,Atlético Mineiro,вратарь,4,-19
Finland,Евдокимов Лавр Владиславович,Rangers,защитник,1,15
Taiwan,Власов Харлампий Якубович,Dinamo Zagreb,полузащитник,3,1
Guinea-bissau,Анисимов Мирослав Тихонович,Zamalek,защитник,3,17
Anguilla,Блинов Герман Викентьевич,IFK Göteborg,вратарь,4,-28
Northern Mariana Islands,Фадеев Адам Ефимьевич,Valencia,вратарь,6,-30
Romania,Самсонов Епифан Гордеевич,CSKA Sofia,вратарь,7,-20
Ireland,Степанов Гостомысл Аксёнович,Al Ahly,нападающий,10,10
Djibouti,Кудрявцев Евстигней Ануфриевич,Liverpool,защитник,6,23
Denmark,Павлов Ананий Юльевич,Arsenal,вратарь,8,-3
Mongolia,Самойлов Радислав Бенедиктович,Espérance,полузащитник,2,29
Netherlands,Ефимов Гаврила Александрович,Feyenoord,вратарь,8,-19
United States,Владимиров Макар Гаврилович,Santos,защитник,5,30
Tajikistan,Мельников Светозар Тихонович,Grêmio,полузащитник,5,11
Liechtenstein,Пономарев Дорофей Елисеевич,Zamalek,защитник,5,25
China,Максимов Панкрат Харлампьевич,PSV Eindhoven,полузащитник,7,11
Estonia,Трофимов Лонгин Артемьевич,Napoli,вратарь,2,-9
Equatorial Guinea,Белозеров Корнил Викторович,Corinthians,вратарь,1,-29
Denmark,Гущин Азарий Иларионович,PSV Eindhoven,защитник,1,17
Tokelau,Александров Болеслав Феодосьевич,Dinamo Bucureşti,нападающий,8,18
Fiji,Кудряшов Владислав Викторович,Juventus,защитник,2,18
Cayman Islands,Прохоров Андрон Ермилович,Zamalek,защитник,4,12
Bosnia And Herzegowina,Колобов Касьян Анатольевич,Atlético Madrid,полузащитник,3,1
Guadeloupe,Шилов Артем Александрович,Anderlecht,нападающий,5,15
Saint Lucia,Лобанов Никанор Гертрудович,Grasshopper Club Zürich,вратарь,1,-8
Mongolia,Шашков Ладислав Ермолаевич,IFK Göteborg,нападающий,4,27
Cook Islands,Белов Владимир Викторович,Estudiantes,нападающий,3,5
Korea (South),Гаврилов Ипат Федотович,Paris Saint-Germain,нападающий,1,18
Belize,Гордеев Дементий Игоревич,Dynamo Kyiv,полузащитник,4,29
Somalia,Комаров Мартын Ермолаевич,Chelsea,нападающий,3,23
Pitcairn,Беляев Филипп Андреевич,Club Brugge,нападающий,8,13
Maldives,Панов Илья Абрамович,Internacional,вратарь,10,-8
China,Кулагин Мирон Давидович,CSKA Sofia,нападающий,1,9
Iran,Сазонов Николай Димитриевич,Olympique Lyonnais,нападающий,7,10
Falkland Islands (Malvinas),Костин Исидор Гавриилович,Dinamo Bucureşti,вратарь,2,-9
Lithuania,Белов Богдан Брониславович,Nacional,полузащитник,4,1
Lebanon,Комаров Капитон Гордеевич,Bayern Munich,вратарь,10,-29
Yemen,Мартынов Галактион Арсенович,Atlético Madrid,вратарь,8,-15
Sierra Leone,Власов Артем Иларионович,Barcelona,защитник,10,4
Cambodia,Зимин Феликс Давыдович,Cruzeiro,нападающий,9,13
Haiti,Пахомов Владимир Исидорович,Ferencvárosi TC,защитник,8,8
Guinea,Рогов Руслан Жанович,Nacional,нападающий,3,17
Saudi Arabia,Киселев Сильвестр Эдгарович,Athletic Bilbao,вратарь,8,-29
Argentina,Ширяев Ермолай Бенедиктович,Steaua Bucureşti,вратарь,5,-19
Micronesia,Орлов Ярополк Данилович,Dinamo Bucureşti,вратарь,2,-28
Comoros,Архипов Матвей Зиновьевич,Köln,нападающий,1,3
Saint Lucia,Кулагин Радим Яковлевич,Racing,вратарь,3,-28
Anguilla,Сафонов Павел Тарасович,Werder Bremen,защитник,10,17
Jordan,Рыбаков Василий Антонович,Peñarol,нападающий,4,7
Faroe Islands,Мишин Кирилл Харитонович,Napoli,нападающий,4,26
St Vincent/Grenadines,Воронцов Радован Венедиктович,Köln,защитник,8,19
Latvia,Лукин Ювеналий Ильясович,Feyenoord,полузащитник,10,2
Armenia,Белоусов Гаврила Бориславович,Universidad Católica,защитник,4,9
Greenland,Трофимов Ираклий Глебович,Grasshopper Club Zürich,нападающий,1,13
South Africa,Владимиров Влас Валерьянович,Juventus,вратарь,6,-20
Vatican City State,Мишин Никанор Яковлевич,Nacional,защитник,10,26
Uzbekistan,Прохоров Измаил Георгиевич,San Lorenzo,полузащитник,5,26
Oman,Владимиров Константин Евсеевич,River Plate,защитник,5,22
Suriname,Лазарев Роман Харламович,Juventus,нападающий,4,21
Guyana,Ларионов Светозар Юльевич,Independiente,защитник,4,20
Portugal,Брагин Куприян Евстигнеевич,Celtic,вратарь,1,-17
Austria,Морозов Харлампий Андреевич,Internacional,защитник,7,16
Lesotho,Моисеев Христофор Афанасьевич,Tottenham Hotspur,защитник,5,13
Germany,Самсонов Исидор Филимонович,Olympiacos,вратарь,2,-20
Canada,Волков Ипатий Бориславович,Partizan,полузащитник,10,7
Kenya,Меркушев Ерофей Терентьевич,Real Madrid,вратарь,9,-4
Somalia,Данилов Ферапонт Арсеньевич,Benfica,вратарь,7,-23
Austria,Овчинников Феликс Исидорович,Club América,защитник,8,29
Equatorial Guinea,Белозеров Филарет Трифонович,Dynamo Kyiv,полузащитник,6,5
Israel,Быков Варфоломей Авдеевич,Partizan,нападающий,4,27
St. Helena,Цветков Леонид Измаилович,Real Madrid,защитник,1,4
Micronesia,Ларионов Степан Григорьевич,Torino,нападающий,3,29
Azerbaijan,Цветков Кузьма Ильич,Universidad de Chile,полузащитник,7,13
Comoros,Баранов Эраст Фёдорович,River Plate,вратарь,3,-2
Ecuador,Цветков Флорентин Ааронович,Chelsea,полузащитник,2,16
Saint Lucia,Кузьмин Мирон Власович,Peñarol,нападающий,1,9
Senegal,Петухов Родион Исидорович,América de Cali,нападающий,2,24
Guinea-bissau,Никонов Назар Гаврилович,Napoli,защитник,7,1
Cote D`ivoire,Пахомов Ананий Захарьевич,Torino,защитник,4,5
Saint Kitts And Nevis,Селиверстов Велимир Демьянович,Sporting,вратарь,4,-28
Mauritius,Тихонов Каллистрат Гурьевич,Olympique Lyonnais,защитник,1,10
Kuwait,Никитин Лучезар Анисимович,Bayern Munich,защитник,6,10
Pakistan,Суханов Радим Феофанович,Schalke,вратарь,4,-11
Latvia,Королев Велимир Гавриилович,Dynamo Kyiv,вратарь,1,-30
Uzbekistan,Корнилов Венедикт Ефстафьевич,Club Brugge,нападающий,6,9
Mayotte,Константинов Куприян Ааронович,Juventus,защитник,7,20
St.Pierre,Одинцов Яков Владиславович,Libertad,нападающий,4,4
St Vincent/Grenadines,Щукин Серафим Арсенович,Juventus,нападающий,3,25
Antigua And Barbuda,Ковалев Карп Антипович,Dinamo Bucureşti,нападающий,10,30
Venezuela,Макаров Нифонт Абрамович,Olympiacos,вратарь,3,-17
Ghana,Яковлев Всеволод Августович,Levski Sofia,полузащитник,1,26
Norfolk Island,Емельянов Григорий Богданович,Santos,вратарь,6,-2
Honduras,Авдеев Антонин Феофанович,Panathinaikos,нападающий,1,26
Haiti,Анисимов Леон Антонович,Olympique Marseille,защитник,5,26
Sri Lanka,Зыков Митофан Евстигнеевич,Flamengo,полузащитник,8,11
Sierra Leone,Крюков Федор Жоресович,Nacional,нападающий,6,2
Malaysia,Фомин Валерий Ильич,Lazio,полузащитник,3,19
Cameroon,Брагин Юлий Васильевич,Borussia Mönchengladbach,защитник,1,6
Japan,Белов Фирс Игнатович,Köln,вратарь,2,-24
Bouvet Island,Власов Радислав Ефремович,Levski Sofia,вратарь,10,-17
American Samoa,Нестеров Лука Владленович,Rangers,нападающий,1,16
Brazil,Крылов Федор Анатольевич,Zamalek,защитник,6,20
Barbados,Силин Остромир Григорьевич,Everton,защитник,2,29
Bermuda,Шубин Милен Брониславович,A.C. Milan,защитник,10,15
Bermuda,Емельянов Август Евсеевич,Porto,вратарь,5,-11
Vanuatu,Ефимов Корнил Федотович,Ajax,полузащитник,10,1
Kenya,Фролов Спартак Ефимьевич,Manchester United,вратарь,9,-27
Aruba,Андреев Адам Венедиктович,Porto,нападающий,1,1
Namibia,Мясников Никифор Еремеевич,Arsenal,полузащитник,8,2
Trinidad And Tobago,Щукин Климент Федотович,Schalke,полузащитник,7,21
Congo,Шашков Сила Валерьевич,Arsenal,полузащитник,3,15
Canada,Трофимов Август Адамович,Club América,защитник,2,12
Reunion,Лазарев Мефодий Иосифович,Independiente,нападающий,4,4
Christmas Island,Лобанов Андроник Владиленович,Athletic Bilbao,вратарь,5,-9
Dominica,Соколов Алексей Фадеевич,Schalke,полузащитник,10,9
Martinique,Ситников Андрон Бориславович,Bayern Munich,полузащитник,8,14
Trinidad And Tobago,Меркушев Спартак Ануфриевич,Inter Milan,нападающий,10,14
Spain,Селезнев Сидор Вилорович,Slavia Prague,защитник,7,21
Switzerland,Казаков Авксентий Харлампович,Köln,полузащитник,8,1
Guinea-bissau,Гордеев Лаврентий Владиславович,Austria Wien,вратарь,6,-9
Sudan,Пестов Климент Анисимович,Red Star Belgrade,защитник,10,17
Mali,Князев Самсон Харламович,Schalke,защитник,6,15
Rwanda,Горбунов Ананий Теймуразович,Celtic,защитник,3,3
Bolivia,Лаврентьев Кузьма Архипович,Újpest,вратарь,7,-12
Guatemala,Мельников Никанор Давыдович,Bayern Munich,нападающий,3,28
Romania,Веселов Сидор Харитонович,Saint-Étienne,нападающий,9,2
Albania,Лапин Самуил Жанович,Porto,полузащитник,5,20
Syrian Arab Republic,Орлов Ярослав Бориславович,Werder Bremen,вратарь,4,-19
Niue,Одинцов Антонин Ильич,Valencia,нападающий,3,1
Czech Republic,Кулаков Ермил Харлампович,Cerro Porteño,полузащитник,8,21
United Kingdom,Тарасов Агафон Зиновьевич,Flamengo,полузащитник,6,3
Botswana,Рыбаков Устин Захарьевич,Liverpool,защитник,1,19
France,Мясников Викторин Филиппович,Olympique Lyonnais,полузащитник,1,18
Hungary,Григорьев Никон Юльевич,Tottenham Hotspur,полузащитник,10,14
Iraq,Денисов Бажен Борисович,Paris Saint-Germain,защитник,4,28
Malaysia,Кудряшов Всеволод Чеславович,Everton,полузащитник,10,5
Jordan,Лаврентьев Евсей Захарьевич,Schalke,защитник,6,28
Zambia,Александров Вышеслав Федосьевич,Vélez Sarsfield,полузащитник,5,30
Tuvalu,Павлов Вячеслав Юльевич,Juventus,нападающий,3,21
Fiji,Шубин Валерий Феофанович,Slavia Prague,нападающий,6,12
Micronesia,Меркушев Фока Валентинович,Liverpool,защитник,1,28
French S. Territories,Некрасов Ярополк Анисимович,Olympique Lyonnais,нападающий,3,20
Slovenia,Семенов Эраст Вилорович,Benfica,вратарь,3,-19
Puerto Rico,Морозов Трифон Гертрудович,Roma,защитник,4,11
American Samoa,Петров Алексей Жанович,Feyenoord,нападающий,2,7
Vanuatu,Рожков Кондрат Александрович,Colo-Colo,полузащитник,5,20
Korea (North),Виноградов Григорий Чеславович,Juventus,вратарь,10,-25
Mali,Антонов Сигизмунд Гордеевич,Ferencvárosi TC,вратарь,9,-6
Tunisia,Емельянов Каллистрат Фомич,Werder Bremen,вратарь,4,-10
Anguilla,Голубев Борислав Филиппович,Benfica,нападающий,3,12
Bahrain,Киселев Аркадий Игнатович,Colo-Colo,полузащитник,7,17
Mongolia,Королев Пров Данилович,Köln,полузащитник,1,13
Central African Rep,Давыдов Август Анатольевич,PSV Eindhoven,вратарь,9,-3
Puerto Rico,Зайцев Агафон Ефимьевич,Atlético Madrid,защитник,10,27
Belize,Ефремов Рубен Игнатович,Colo-Colo,вратарь,8,-8
Ethiopia,Исаев Эдуард Арсеньевич,Internacional,нападающий,10,26
Cape Verde,Кошелев Творимир Адрианович,Racing,защитник,6,25
Malaysia,Белозеров Илья Иосипович,Peñarol,полузащитник,9,27
Swaziland,Якушев Тимофей Ерофеевич,Újpest,защитник,4,18
Croatia,Фомин Епифан Ермолаевич,Dinamo Zagreb,защитник,10,24
Malaysia,Шестаков Эмиль Георгиевич,Independiente,полузащитник,5,8
Philippines,Шестаков Григорий Власович,Cerro Porteño,нападающий,3,5
Malta,Меркушев Лазарь Владиленович,Cerro Porteño,защитник,2,13
Eritrea,Прохоров Геннадий Артурович,Olympique Lyonnais,нападающий,2,26
Peru,Ильин Андрон Филиппович,Independiente,защитник,7,27
Niger,Сазонов Фока Ермолаевич,Boca Juniors,вратарь,2,-14
Zimbabwe,Ситников Будимир Антонович,Olimpia,вратарь,8,-28
Niger,Мамонтов Матвей Иларионович,Independiente,защитник,5,15
Ireland,Красильников Фадей Евсеевич,Cruzeiro,полузащитник,4,6
