Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Costa Rica,Овчинников Сила Харлампович,River Plate,защитник,5,18
Bolivia,Брагин Арефий Даниилович,Celtic,защитник,2,9
Moldova,Калинин Амвросий Тарасович,Red Star Belgrade,нападающий,6,1
Malaysia,Панфилов Аким Бенедиктович,Libertad,защитник,10,4
Qatar,Белоусов Адриан Игоревич,Club América,вратарь,6,-6
China,Стрелков Ратмир Елисеевич,Espérance,нападающий,2,6
Namibia,Богданов Вацлав Адрианович,Saint-Étienne,полузащитник,10,23
Turkey,Миронов Харитон Евстигнеевич,São Paulo,защитник,3,28
Dominican Republic,Пахомов Вениамин Демьянович,Grasshopper Club Zürich,нападающий,9,8
American Samoa,Киселев Яков Феликсович,Universitario,нападающий,10,4
Cote D`ivoire,Шаров Епифан Харитонович,Internacional,нападающий,3,30
Cuba,Дементьев Эрнест Ермолаевич,CSKA Sofia,вратарь,6,-8
Uzbekistan,Николаев Мстислав Валентинович,Everton,нападающий,3,20
Iraq,Сорокин Захар Антипович,Újpest,нападающий,9,21
Brunei Darussalam,Гуляев Чеслав Аксёнович,Slavia Prague,защитник,3,22
Kiribati,Никифоров Геннадий Герасимович,Zamalek,защитник,5,30
Haiti,Кудряшов Денис Артемьевич,Monaco,нападающий,7,13
Tanzania,Рябов Остромир Якубович,CSKA Sofia,полузащитник,8,22
East Timor,Одинцов Валерий Архипович,Celtic,вратарь,1,-15
Samoa,Кулагин Автоном Иларионович,IFK Göteborg,нападающий,1,12
Anguilla,Туров Гордей Захарьевич,Panathinaikos,защитник,6,11
Nigeria,Князев Ипатий Арсеньевич,Monaco,полузащитник,4,20
Bouvet Island,Мамонтов Кузьма Тимурович,Austria Wien,защитник,8,22
Tonga,Воронцов Онуфрий Брониславович,Fenerbahçe,полузащитник,7,16
Chad,Власов Любим Иосипович,Libertad,нападающий,6,30
Nigeria,Громов Сергей Арсенович,Girondins de Bordeaux,полузащитник,9,29
Ghana,Ефремов Вадим Теймуразович,Atlético Mineiro,вратарь,4,-19
Greenland,Панов Аггей Эдгарович,Saint-Étienne,защитник,5,22
Cook Islands,Дорофеев Ростислав Ильясович,Dinamo Zagreb,вратарь,10,-14
Jordan,Дроздов Федор Ермолаевич,Schalke,нападающий,5,14
Namibia,Герасимов Афиноген Игоревич,Athletic Bilbao,вратарь,8,-14
Mali,Яковлев Кир Еремеевич,Grasshopper Club Zürich,нападающий,7,5
Solomon Islands,Павлов Феоктист Валерианович,MTK Budapest,полузащитник,10,30
Venezuela,Веселов Лонгин Ефстафьевич,Linfield,полузащитник,5,18
Trinidad And Tobago,Жуков Сила Филиппович,Universidad de Chile,полузащитник,4,12
Bolivia,Авдеев Григорий Гордеевич,Austria Wien,защитник,2,22
Dominica,Михайлов Спартак Ефимович,Arsenal,нападающий,8,30
Vatican City State,Волков Ипат Зиновьевич,Ferencvárosi TC,полузащитник,5,1
Rwanda,Сидоров Антонин Исидорович,Roma,полузащитник,10,9
Luxembourg,Волков Юрий Владленович,Dinamo Bucureşti,вратарь,1,-20
Russian Federation,Григорьев Харлампий Ааронович,Real Madrid,полузащитник,8,2
Cote D`ivoire,Панфилов Вадим Геннадиевич,Fenerbahçe,защитник,2,4
Lebanon,Александров Амос Брониславович,Cerro Porteño,вратарь,9,-13
Canada,Логинов Пров Фролович,Panathinaikos,полузащитник,4,17
Tonga,Устинов Вацлав Фролович,Napoli,полузащитник,1,28
Tonga,Александров Фотий Алексеевич,Manchester United,нападающий,9,21
Jamaica,Кудрявцев Николай Артемьевич,Malmö,вратарь,4,-26
Brunei Darussalam,Смирнов Филарет Арсенович,Feyenoord,нападающий,6,8
Chad,Афанасьев Евстафий Ермолаевич,Atlético Nacional,полузащитник,6,3
Marshall Islands,Муравьев Автоном Эдгардович,Fenerbahçe,защитник,1,15
Rwanda,Муравьев Владилен Владленович,CSKA Sofia,защитник,7,3
Indonesia,Буров Ерофей Иларионович,Sporting,полузащитник,6,8
Nicaragua,Денисов Савелий Ильясович,Liverpool,защитник,7,12
French Polynesia,Дроздов Аггей Демьянович,Steaua Bucureşti,полузащитник,3,3
Guatemala,Виноградов Святослав Ярославович,Universidad de Chile,вратарь,4,-30
Bolivia,Белоусов Вацлав Устинович,Atlético Mineiro,защитник,2,14
Angola,Дорофеев Феоктист Ефстафьевич,Vélez Sarsfield,полузащитник,10,22
Poland,Марков Максим Яковлевич,Olimpia,защитник,5,19
Aruba,Игнатов Назар Игоревич,Internacional,вратарь,4,-22
Costa Rica,Пахомов Яков Данилович,Cerro Porteño,защитник,9,10
Kuwait,Суханов Светозар Егорович,Levski Sofia,полузащитник,9,17
Morocco,Петухов Андрей Ануфриевич,Újpest,защитник,2,7
Georgia,Александров Иван Феликсович,Olympique Marseille,защитник,10,23
Tanzania,Гаврилов Август Витальевич,Aston Villa,вратарь,4,-24
Lebanon,Сорокин Фирс Артемьевич,Inter Milan,вратарь,6,-29
Armenia,Морозов Милен Алексеевич,Nacional,защитник,2,21
Puerto Rico,Кононов Милан Григорьевич,Celtic,нападающий,7,20
Yugoslavia,Петров Трифон Антонович,Galatasaray,полузащитник,9,2
Niger,Орлов Милен Давидович,Dynamo Kyiv,защитник,4,8
Bhutan,Карпов Евсей Владленович,América de Cali,полузащитник,7,12
Guinea-bissau,Третьяков Адриан Васильевич,Santos,вратарь,7,-30
Norfolk Island,Афанасьев Светозар Адамович,Tottenham Hotspur,нападающий,3,18
Mali,Захаров Евграф Тихонович,Sparta Prague,защитник,7,30
Bulgaria,Богданов Ермил Бориславович,Libertad,полузащитник,8,21
Kyrgyzstan,Бобылев Прохор Федосеевич,Al Ahly,нападающий,2,30
Liechtenstein,Бобров Аристарх Егорович,Sparta Prague,полузащитник,1,7
Lithuania,Фролов Елизар Фролович,Grêmio,полузащитник,6,22
Ecuador,Сысоев Фрол Ефстафьевич,Tottenham Hotspur,полузащитник,2,20
Macedonia,Белов Ипатий Аверьянович,Dynamo Kyiv,полузащитник,5,23
Central African Rep,Марков Потап Демидович,Al Ahly,нападающий,4,18
Lesotho,Цветков Чеслав Ерофеевич,Athletic Bilbao,нападающий,3,2
Maldives,Ларионов Никита Александрович,Saint-Étienne,нападающий,2,27
Egypt,Никитин Артем Виленович,Independiente,защитник,4,14
Ghana,Вишняков Мартьян Гордеевич,Spartak Moscow,вратарь,2,-8
Algeria,Пономарев Сигизмунд Всеволодович,Werder Bremen,нападающий,8,17
Cayman Islands,Сазонов Никодим Изотович,Borussia Mönchengladbach,защитник,7,18
Belarus,Харитонов Прохор Устинович,Werder Bremen,нападающий,4,23
Central African Rep,Маслов Авдей Фомич,Universidad Católica,защитник,1,4
Syrian Arab Republic,Андреев Ерофей Евсеевич,San Lorenzo,полузащитник,8,24
Tajikistan,Панов Всемил Валерьянович,Hajduk Split,защитник,4,28
El Salvador,Фролов Глеб Юлианович,Girondins de Bordeaux,нападающий,2,9
Thailand,Горшков Степан Филимонович,Aston Villa,нападающий,6,27
Djibouti,Анисимов Фрол Ефстафьевич,Saint-Étienne,нападающий,10,28
Virgin Islands (British),Павлов Никифор Эдгарович,Lazio,нападающий,8,2
Dominica,Силин Ананий Аксёнович,Peñarol,нападающий,1,1
Equatorial Guinea,Титов Феликс Фролович,Grasshopper Club Zürich,нападающий,8,18
Brunei Darussalam,Новиков Тит Ааронович,Athletic Bilbao,полузащитник,8,20
Algeria,Абрамов Зосима Димитриевич,Malmö,полузащитник,6,17
Monaco,Тимофеев Влас Яковлевич,Olympique Marseille,вратарь,4,-1
Bahrain,Дмитриев Владлен Ануфриевич,Nacional,нападающий,1,3
Guinea,Самсонов Сидор Филатович,Lazio,защитник,8,28
East Timor,Доронин Ким Арсеньевич,Atlético Mineiro,защитник,8,22
United Arab Emirates,Кузнецов Демьян Антонович,Boca Juniors,вратарь,1,-23
Mali,Шарапов Клавдий Марсович,Al Ahly,вратарь,9,-14
Norway,Громов Орест Арсеньевич,Club Brugge,защитник,6,16
Guam,Филатов Епифан Глебович,Independiente,защитник,8,11
Greenland,Кабанов Любим Ефимьевич,CSKA Sofia,нападающий,9,29
Cocos Islands,Романов Творимир Матвеевич,Boca Juniors,вратарь,7,-7
Tanzania,Суханов Петр Васильевич,Real Madrid,полузащитник,6,9
Tajikistan,Рябов Христофор Алексеевич,Borussia Mönchengladbach,полузащитник,9,28
San Marino,Матвеев Никодим Игоревич,São Paulo,полузащитник,6,2
Greece,Носков Мина Владиленович,Club Brugge,вратарь,2,-18
Dominica,Харитонов Самуил Архипович,Sporting,полузащитник,5,1
St.Pierre,Устинов Парфен Бориславович,Universidad Católica,защитник,7,27
Niger,Шубин Ян Борисович,Atlético Madrid,защитник,4,26
Faroe Islands,Бирюков Карп Харлампьевич,Borussia Dortmund,нападающий,3,14
Solomon Islands,Рыбаков Творимир Абрамович,Estudiantes,защитник,1,25
Togo,Молчанов Никифор Ермолаевич,Bayern Munich,защитник,2,13
Solomon Islands,Некрасов Епифан Юльевич,Palmeiras,полузащитник,1,17
Burkina Faso,Елисеев Владилен Димитриевич,Racing,нападающий,7,20
Montserrat,Бирюков Мокей Анатольевич,Juventus,защитник,1,30
Nigeria,Аксенов Зиновий Федосеевич,Grêmio,вратарь,1,-13
Saint Kitts And Nevis,Ершов Лука Елизарович,Inter Milan,полузащитник,10,6
China,Блинов Порфирий Игнатьевич,Aston Villa,нападающий,6,8
Haiti,Доронин Илья Григорьевич,IFK Göteborg,вратарь,2,-7
Dominican Republic,Сысоев Боян Георгиевич,Sporting,полузащитник,1,16
Liechtenstein,Горбунов Святослав Игнатьевич,Aston Villa,нападающий,7,8
Uruguay,Селиверстов Иосиф Трофимович,Linfield,нападающий,9,23
Guam,Семенов Геннадий Игнатьевич,A.C. Milan,защитник,9,2
Turkey,Копылов Амвросий Иосифович,Schalke,защитник,8,25
Egypt,Поляков Анатолий Антонович,Atlético Mineiro,вратарь,8,-24
Suriname,Носов Макар Юлианович,Chelsea,защитник,4,15
Togo,Борисов Ерофей Жоресович,Olympique Lyonnais,полузащитник,9,15
Nauru,Селиверстов Эрнест Исидорович,Libertad,нападающий,1,19
Antarctica,Носов Андрон Давыдович,Linfield,вратарь,10,-17
Cameroon,Ершов Епифан Ермолаевич,Fenerbahçe,защитник,5,3
Zimbabwe,Ширяев Болеслав Артёмович,Sporting,нападающий,2,27
Papua New Guinea,Ермаков Климент Измаилович,Saint-Étienne,вратарь,3,-24
Pitcairn,Абрамов Прокофий Брониславович,Grasshopper Club Zürich,нападающий,6,13
St.Pierre,Доронин Амос Гавриилович,Universidad de Chile,нападающий,6,22
Malawi,Кулагин Эммануил Владленович,Bayern Munich,вратарь,9,-12
Mali,Сафонов Валерий Еремеевич,Spartak Moscow,вратарь,6,-3
Brazil,Давыдов Остап Юлианович,Schalke,защитник,7,6
Senegal,Зимин Ипат Ефремович,Colo-Colo,нападающий,9,5
Comoros,Данилов Богдан Эдгарович,Club Brugge,защитник,10,3
Monaco,Котов Радим Матвеевич,Flamengo,нападающий,8,7
Slovakia,Мельников Мокей Богданович,Paris Saint-Germain,нападающий,8,17
Suriname,Исаков Антонин Ермилович,Athletic Bilbao,защитник,5,11
Haiti,Калашников Исидор Денисович,Inter Milan,полузащитник,8,2
Japan,Михеев Эрнест Глебович,Colo-Colo,защитник,7,4
Hungary,Тетерин Гордей Ефимович,Ajax,вратарь,1,-28
Indonesia,Казаков Автоном Дорофеевич,Köln,полузащитник,5,6
East Timor,Емельянов Чеслав Юльевич,Girondins de Bordeaux,нападающий,4,22
Russian Federation,Филиппов Изяслав Захарьевич,Inter Milan,защитник,4,15
Madagascar,Кудрявцев Валентин Дмитриевич,Anderlecht,нападающий,5,21
Poland,Самсонов Иван Фролович,Dinamo Zagreb,защитник,9,7
Zimbabwe,Костин Боян Теймуразович,Universitario,нападающий,6,7
Saint Kitts And Nevis,Лихачев Спартак Яковлевич,Fenerbahçe,защитник,8,27
Iran,Веселов Гремислав Андреевич,Ajax,вратарь,2,-24
East Timor,Галкин Елисей Валентинович,CSKA Sofia,вратарь,4,-6
Nauru,Владимиров Виссарион Викентьевич,Újpest,защитник,3,8
Nauru,Суханов Изяслав Иларионович,Vasco da Gama,нападающий,7,10
Ethiopia,Зайцев Павел Ефимович,Juventus,нападающий,2,2
Costa Rica,Русаков Иларион Вилорович,Chelsea,защитник,8,23
Somalia,Емельянов Милан Бориславович,A.C. Milan,полузащитник,6,22
Indonesia,Суворов Лонгин Тимурович,Rangers,защитник,1,27
Iran,Федосеев Август Трифонович,Újpest,полузащитник,3,28
Georgia,Красильников Святополк Фёдорович,Estudiantes,нападающий,6,23
Spain,Шубин Семен Григорьевич,Partizan,защитник,10,1
Dominican Republic,Третьяков Василий Харламович,Club América,нападающий,5,10
Mexico,Захаров Ефим Егорович,Benfica,полузащитник,3,19
Papua New Guinea,Казаков Елисей Августович,Olympique Marseille,защитник,8,30
Bahrain,Баранов Боян Всеволодович,Cerro Porteño,вратарь,5,-10
Peru,Чернов Аким Арсенович,Újpest,защитник,1,3
Bosnia And Herzegowina,Носков Ананий Матвеевич,Schalke,вратарь,3,-25
Mayotte,Данилов Валентин Егорович,Barcelona,нападающий,6,16
Uganda,Королев Сильвестр Герасимович,Partizan,защитник,7,1
Central African Rep,Кузьмин Исай Васильевич,Estudiantes,вратарь,8,-11
Falkland Islands (Malvinas),Шестаков Ратибор Адрианович,Steaua Bucureşti,вратарь,6,-13
Guinea,Борисов Пров Юльевич,Zamalek,полузащитник,10,3
Cayman Islands,Семенов Доброслав Эдгарович,Cruzeiro,полузащитник,2,17
Cameroon,Ефремов Ипполит Давидович,Fiorentina,полузащитник,9,27
New Zealand,Ефремов Софон Фёдорович,Slavia Prague,полузащитник,6,9
Tonga,Дьячков Натан Валерианович,Slavia Prague,защитник,4,18
Saint Kitts And Nevis,Евдокимов Юрий Эдгарович,Universitario,нападающий,2,13
Uganda,Константинов Аполлинарий Егорович,Köln,защитник,10,27
Mauritania,Трофимов Сидор Витальевич,Club Brugge,полузащитник,7,2
El Salvador,Блохин Адам Богданович,Schalke,нападающий,8,25
France,Лукин Ефим Иларионович,Olimpia,полузащитник,3,22
Estonia,Белоусов Максимильян Феоктистович,Vasco da Gama,полузащитник,5,23
Italy,Костин Доброслав Якубович,River Plate,нападающий,3,7
Comoros,Котов Ферапонт Викторович,Sporting,защитник,7,9
Dominica,Борисов Павел Владиленович,Tottenham Hotspur,полузащитник,4,9
Mexico,Фокин Тит Ааронович,Independiente,полузащитник,9,26
Netherlands Antilles,Кабанов Юлиан Димитриевич,Werder Bremen,вратарь,1,-22
Korea (South),Пахомов Кузьма Ярославович,Athletic Bilbao,вратарь,5,-24
Nepal,Наумов Ипатий Фомич,Grêmio,вратарь,6,-30
French S. Territories,Никитин Ермил Вилорович,Hamburger SV,защитник,5,22
Montserrat,Устинов Гордей Гавриилович,A.C. Milan,полузащитник,3,30
Canada,Гуляев Сила Устинович,Borussia Mönchengladbach,вратарь,10,-22
Ecuador,Абрамов Доброслав Филимонович,Club Brugge,нападающий,4,17
Kuwait,Белов Ипат Иосипович,Panathinaikos,защитник,3,2
Bolivia,Гурьев Ермил Анатольевич,Juventus,полузащитник,9,23
Sao Tome,Туров Антип Якубович,Corinthians,полузащитник,1,29
India,Устинов Болеслав Давидович,Vasco da Gama,вратарь,8,-20
Indonesia,Чернов Святослав Адамович,Saint-Étienne,полузащитник,4,21
United Kingdom,Моисеев Владилен Евсеевич,Linfield,вратарь,8,-1
Korea (South),Макаров Орест Егорович,Lazio,вратарь,7,-10
Saint Kitts And Nevis,Голубев Изяслав Ильясович,Hajduk Split,защитник,7,21
Philippines,Ефимов Евлампий Евсеевич,Schalke,полузащитник,8,7
Monaco,Романов Назар Георгиевич,Spartak Moscow,вратарь,5,-28
Estonia,Мухин Аполлинарий Ефимович,Feyenoord,вратарь,5,-20
Egypt,Захаров Порфирий Феоктистович,Libertad,вратарь,2,-20
Somalia,Муравьев Остап Трофимович,Benfica,полузащитник,6,5
American Samoa,Тихонов Сергей Ефстафьевич,Ferencvárosi TC,вратарь,4,-20
Iraq,Авдеев Устин Виленович,Grasshopper Club Zürich,полузащитник,10,16
Mauritius,Марков Сила Марсович,Juventus,полузащитник,8,12
India,Горбачев Куприян Ерофеевич,Panathinaikos,нападающий,5,29
Nigeria,Емельянов Сократ Аверьянович,Everton,нападающий,7,20
New Caledonia,Баранов Сергей Архипович,Borussia Mönchengladbach,нападающий,10,3
Panama,Жданов Ростислав Гордеевич,Tottenham Hotspur,полузащитник,1,23
Macedonia,Горбунов Ян Адрианович,Rapid Wien,вратарь,1,-24
Egypt,Наумов Всеволод Александрович,CSKA Sofia,нападающий,7,30
Marshall Islands,Горшков Фотий Аксёнович,Chelsea,нападающий,8,2
Congo,Моисеев Велимир Игнатьевич,Bayern Munich,нападающий,3,5
Dominican Republic,Родионов Валентин Абрамович,Dinamo Zagreb,защитник,5,21
Seychelles,Артемьев Самсон Валерьевич,Juventus,полузащитник,3,26
Dominican Republic,Филиппов Софон Терентьевич,Linfield,нападающий,6,15
American Samoa,Волков Федосий Игнатович,Nacional,вратарь,5,-30
Pakistan,Корнилов Вениамин Еремеевич,Real Madrid,нападающий,1,20
East Timor,Шашков Поликарп Викентьевич,Vasco da Gama,защитник,8,20
Marshall Islands,Исаков Сигизмунд Харлампович,Chelsea,вратарь,7,-16
Mayotte,Соловьев Аполлинарий Игнатьевич,Ferencvárosi TC,защитник,1,28
Bouvet Island,Мартынов Анатолий Захарьевич,Liverpool,полузащитник,2,28
Austria,Маслов Кир Устинович,Hajduk Split,вратарь,10,-9
Gibraltar,Колобов Рубен Жанович,IFK Göteborg,защитник,9,7
Moldova,Сысоев Аверкий Елизарович,Atlético Madrid,нападающий,1,28
China,Никифоров Кондратий Юльевич,América de Cali,вратарь,8,-26
Bosnia And Herzegowina,Павлов Доброслав Владиленович,Steaua Bucureşti,нападающий,8,28
Greenland,Капустин Тимофей Глебович,Celtic,нападающий,10,19
Iceland,Зимин Евстигней Харлампьевич,Flamengo,полузащитник,8,14
Swaziland,Наумов Ратмир Богданович,Austria Wien,полузащитник,5,15
Sweden,Кудряшов Эрнест Борисович,Dinamo Bucureşti,полузащитник,3,30
Lithuania,Гурьев Савватий Измаилович,Club Brugge,защитник,8,25
Niue,Козлов Симон Фокич,Internacional,защитник,8,22
Slovakia,Доронин Христофор Анатольевич,Spartak Moscow,нападающий,1,16
Tajikistan,Колесников Иларион Федосеевич,Dinamo Zagreb,полузащитник,4,18
Congo,Блинов Святополк Владиленович,Steaua Bucureşti,вратарь,1,-17
Myanmar,Некрасов Симон Антипович,CSKA Sofia,полузащитник,2,8
Bulgaria,Савин Исидор Анатольевич,PSV Eindhoven,вратарь,9,-17
Ghana,Романов Федор Всеволодович,Grêmio,вратарь,5,-30
Guadeloupe,Аксенов Эраст Фёдорович,Juventus,вратарь,7,-24
American Samoa,Гурьев Вышеслав Артёмович,Porto,защитник,5,21
Kiribati,Крюков Дмитрий Федосьевич,Zamalek,защитник,5,6
Chad,Тарасов Рубен Александрович,Olimpia,вратарь,8,-22
Gambia,Щербаков Сила Ильич,Grasshopper Club Zürich,нападающий,8,26
Togo,Баранов Пимен Алексеевич,Bayern Munich,нападающий,2,11
Hungary,Котов Степан Адрианович,Ajax,полузащитник,6,12
Maldives,Поляков Трифон Ануфриевич,Benfica,нападающий,1,21
Armenia,Горбачев Артемий Ярославович,Chelsea,нападающий,4,1
Kazakhstan,Захаров Соломон Чеславович,Borussia Mönchengladbach,защитник,3,7
Barbados,Панов Вацлав Еремеевич,América de Cali,нападающий,7,2
Niger,Блинов Твердислав Федосеевич,Palmeiras,полузащитник,2,8
Algeria,Веселов Лавр Ефремович,Real Madrid,защитник,6,23
Senegal,Константинов Лучезар Давидович,Universitario,нападающий,8,3
Cape Verde,Буров Изот Исидорович,Borussia Mönchengladbach,защитник,5,10
Papua New Guinea,Мамонтов Святослав Игнатьевич,Everton,вратарь,1,-30
Aruba,Сергеев Аникита Давыдович,Olimpia,вратарь,6,-1
Netherlands Antilles,Белов Анисим Арсенович,Napoli,защитник,8,6
Afghanistan,Орлов Милен Владиленович,Olympiacos,полузащитник,9,15
Latvia,Корнилов Федот Филатович,Atlético Madrid,нападающий,6,22
Jamaica,Зуев Трифон Феодосьевич,Tottenham Hotspur,полузащитник,5,28
Swaziland,Кононов Гремислав Харламович,América de Cali,защитник,9,5
Kazakhstan,Николаев Никон Гавриилович,Espérance,защитник,10,3
Guam,Андреев Модест Игнатьевич,Ajax,защитник,1,30
East Timor,Новиков Пахом Изотович,Panathinaikos,защитник,9,8
Puerto Rico,Соколов Роман Фадеевич,Boca Juniors,защитник,8,14
Anguilla,Денисов Аникей Витальевич,Saint-Étienne,полузащитник,2,20
Laos,Гуляев Варфоломей Евстигнеевич,Monaco,вратарь,5,-6
Virgin Islands (British),Рыбаков Каллистрат Фадеевич,Slavia Prague,нападающий,3,21
Marshall Islands,Рыбаков Кирилл Артурович,Vélez Sarsfield,вратарь,2,-6
Saudi Arabia,Орехов Сильвестр Федотович,Werder Bremen,вратарь,4,-12
Niger,Самсонов Панфил Филимонович,Roma,вратарь,9,-24
Cambodia,Терентьев Венедикт Тимурович,Inter Milan,полузащитник,7,27
Panama,Меркушев Аскольд Артурович,Libertad,вратарь,1,-18
Russian Federation,Ситников Лев Тарасович,Steaua Bucureşti,полузащитник,1,20
Costa Rica,Кондратьев Викторин Денисович,Independiente,нападающий,6,3
Malta,Орехов Вацлав Юлианович,Paris Saint-Germain,защитник,2,17
Japan,Соболев Пимен Борисович,Atlético Nacional,вратарь,6,-4
Hong Kong,Миронов Аникей Филиппович,Feyenoord,нападающий,9,3
Myanmar,Титов Доброслав Зиновьевич,Independiente,полузащитник,8,29
Swaziland,Лукин Софон Артемьевич,Santos,вратарь,7,-11
Cocos Islands,Овчинников Матвей Феодосьевич,Rapid Wien,вратарь,3,-30
Czech Republic,Копылов Ким Ермилович,Fiorentina,нападающий,2,11
Germany,Алексеев Дорофей Эдгардович,Grasshopper Club Zürich,защитник,2,21
Finland,Андреев Андрон Трофимович,Olympique Lyonnais,нападающий,9,21
Jordan,Коновалов Матвей Виленович,Sporting,защитник,6,19
Viet Nam,Орлов Яков Викторович,Ajax,полузащитник,8,19
Iceland,Ситников Наркис Артурович,PSV Eindhoven,вратарь,10,-13
Guinea,Потапов Милан Владиленович,Olympique Marseille,вратарь,2,-14
Virgin Islands (British),Капустин Иннокентий Денисович,Arsenal,защитник,10,30
Honduras,Калашников Родион Глебович,América de Cali,защитник,6,24
Luxembourg,Красильников Данила Тарасович,Torino,нападающий,4,1
Palau,Пахомов Исидор Гаврилович,Atlético Mineiro,полузащитник,4,21
Bahrain,Кудрявцев Николай Викентьевич,Olympiacos,вратарь,7,-9
Ghana,Осипов Ираклий Иосипович,Nacional,вратарь,3,-10
Philippines,Медведев Сократ Бориславович,Flamengo,защитник,9,15
