Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Philippines,Зиновьев Ермил Захарьевич,Estudiantes,нападающий,9,2
Chile,Белозеров Геннадий Ефимьевич,Chelsea,защитник,7,28
Norfolk Island,Кудряшов Лев Гертрудович,Cruzeiro,вратарь,5,-11
Macau,Колобов Зосима Иосипович,MTK Budapest,защитник,4,7
Madagascar,Кононов Чеслав Юльевич,Universidad Católica,защитник,5,28
Seychelles,Галкин Фома Викторович,Porto,нападающий,10,2
Russian Federation,Власов Адриан Александрович,Cruzeiro,вратарь,7,-18
Burundi,Панов Якуб Эдуардович,Dynamo Kyiv,вратарь,6,-8
Uganda,Анисимов Лучезар Анатольевич,Colo-Colo,вратарь,10,-12
Estonia,Зимин Мина Исидорович,River Plate,вратарь,1,-20
Tanzania,Власов Мефодий Демидович,Hamburger SV,вратарь,1,-20
Panama,Евдокимов Сократ Ильясович,Sparta Prague,полузащитник,5,10
Palau,Лапин Творимир Ефимович,Napoli,нападающий,8,24
Djibouti,Кабанов Вениамин Васильевич,Bayern Munich,вратарь,7,-5
Belarus,Гусев Мефодий Изотович,MTK Budapest,полузащитник,9,9
Taiwan,Колобов Моисей Жоресович,Lazio,полузащитник,6,9
Aruba,Котов Кузьма Григорьевич,Fenerbahçe,нападающий,4,15
Slovakia,Белов Твердислав Давидович,Tottenham Hotspur,защитник,4,18
Korea (South),Киселев Ипатий Жоресович,Köln,нападающий,5,19
Mauritius,Федоров Глеб Артёмович,América de Cali,нападающий,9,14
Viet Nam,Емельянов Родион Ааронович,Partizan,вратарь,6,-15
Malawi,Гущин Твердислав Васильевич,Real Madrid,полузащитник,4,13
Saint Lucia,Горбунов Виталий Иларионович,Austria Wien,вратарь,2,-6
Kenya,Соловьев Зосима Ильясович,Chelsea,полузащитник,1,7
Guadeloupe,Ильин Аристарх Антонович,Újpest,вратарь,8,-13
South Africa,Ильин Ерофей Гаврилович,Vasco da Gama,полузащитник,9,19
Mayotte,Шилов Симон Гурьевич,Sporting,защитник,5,25
Peru,Орехов Селиван Ильич,Estudiantes,защитник,2,18
Bhutan,Пестов Андроник Жоресович,Libertad,полузащитник,7,8
Saint Kitts And Nevis,Рожков Егор Арсеньевич,Borussia Dortmund,полузащитник,7,20
Qatar,Щербаков Парамон Юлианович,Fiorentina,полузащитник,8,12
Taiwan,Капустин Виталий Владиленович,São Paulo,нападающий,4,21
Virgin Islands (British),Савин Ферапонт Авдеевич,Palmeiras,вратарь,1,-15
Sierra Leone,Филиппов Авдей Игоревич,Olympiacos,полузащитник,10,19
Poland,Юдин Вячеслав Викторович,Real Madrid,защитник,8,24
Egypt,Рожков Петр Данилович,Espérance,вратарь,1,-25
Australia,Титов Радислав Демьянович,Juventus,вратарь,4,-8
Greece,Рожков Илья Архипович,Tottenham Hotspur,нападающий,1,28
Egypt,Рябов Нифонт Филатович,Atlético Nacional,защитник,3,7
China,Князев Владилен Фадеевич,Borussia Dortmund,защитник,4,5
East Timor,Родионов Селиван Терентьевич,Levski Sofia,вратарь,5,-2
Kyrgyzstan,Савин Силантий Герасимович,Rangers,полузащитник,6,29
Vanuatu,Коновалов Глеб Бориславович,Colo-Colo,нападающий,6,6
Namibia,Яковлев Рюрик Аксёнович,A.C. Milan,нападающий,9,26
Argentina,Овчинников Боян Яковлевич,Napoli,нападающий,10,2
Mauritania,Исаев Фома Евсеевич,Aston Villa,защитник,5,14
Guadeloupe,Кулагин Лукьян Игнатович,Roma,вратарь,6,-3
Virgin Islands (British),Сергеев Ермолай Антипович,Dinamo Bucureşti,полузащитник,4,8
Finland,Бобров Семен Игоревич,Porto,защитник,4,18
Guadeloupe,Воронцов Гедеон Харлампович,Arsenal,нападающий,8,5
Martinique,Субботин Орест Андреевич,Boca Juniors,вратарь,8,-6
Belarus,Ковалев Эмиль Эдгарович,Peñarol,защитник,6,24
Romania,Мухин Юлий Тихонович,Aston Villa,нападающий,4,28
Maldives,Ковалев Юлий Дорофеевич,Atlético Madrid,защитник,5,13
Sierra Leone,Маслов Феликс Демидович,Athletic Bilbao,нападающий,2,9
Portugal,Ефремов Пимен Иосипович,Feyenoord,полузащитник,8,6
Bermuda,Комаров Вацлав Тихонович,Levski Sofia,полузащитник,4,2
Croatia,Котов Порфирий Венедиктович,Borussia Mönchengladbach,защитник,7,10
Central African Rep,Филиппов Фортунат Анисимович,Linfield,полузащитник,9,12
Vanuatu,Русаков Лаврентий Елизарович,Újpest,защитник,2,23
American Samoa,Волков Куприян Вилорович,Boca Juniors,защитник,8,13
Indonesia,Уваров Изот Феодосьевич,Aston Villa,вратарь,1,-9
Anguilla,Носков Наум Игоревич,Benfica,защитник,5,28
Korea (North),Морозов Федосий Феодосьевич,Vasco da Gama,полузащитник,9,1
Bosnia And Herzegowina,Зайцев Карп Ануфриевич,Borussia Dortmund,нападающий,8,28
Faroe Islands,Соловьев Ратибор Феликсович,Ajax,защитник,2,14
Malaysia,Кузнецов Демид Юлианович,Al Ahly,вратарь,2,-24
Australia,Кононов Антонин Игоревич,Partizan,вратарь,5,-15
United Arab Emirates,Котов Адриан Даниилович,Atlético Madrid,полузащитник,1,3
Trinidad And Tobago,Самсонов Владислав Иосипович,Corinthians,защитник,10,3
Iceland,Гришин Сергей Алексеевич,Steaua Bucureşti,защитник,8,11
Mauritania,Игнатьев Потап Евстигнеевич,CSKA Sofia,полузащитник,3,19
Mali,Новиков Азарий Филимонович,Tottenham Hotspur,вратарь,5,-29
Kuwait,Беляев Парфен Матвеевич,Napoli,защитник,5,29
Marshall Islands,Кузьмин Герасим Ефимович,Red Star Belgrade,нападающий,9,16
Afghanistan,Сысоев Никифор Андреевич,Porto,нападающий,9,23
Armenia,Панов Радован Бориславович,Levski Sofia,защитник,9,16
Iran,Русаков Аполлинарий Ермолаевич,Inter Milan,вратарь,5,-29
Maldives,Дорофеев Панкрат Тихонович,Arsenal,защитник,2,14
Qatar,Логинов Азарий Давидович,Valencia,полузащитник,9,16
Saint Lucia,Алексеев Савватий Феоктистович,Girondins de Bordeaux,защитник,9,1
Anguilla,Фомин Азарий Яковлевич,Vasco da Gama,вратарь,10,-8
Northern Mariana Islands,Уваров Капитон Артурович,Corinthians,вратарь,3,-8
Sudan,Орехов Влас Феофанович,Everton,нападающий,10,13
Hungary,Евдокимов Еремей Иосифович,Monaco,защитник,6,19
Burundi,Поляков Якуб Федосьевич,Ajax,нападающий,9,14
Slovakia,Кулагин Викторин Даниилович,Benfica,защитник,10,6
Honduras,Колесников Эрнест Глебович,Libertad,защитник,9,21
St. Helena,Евсеев Никон Абрамович,IFK Göteborg,защитник,10,8
Albania,Денисов Прокл Тимурович,Partizan,полузащитник,10,30
Nigeria,Кошелев Станимир Измаилович,Chelsea,нападающий,1,13
American Samoa,Фадеев Аггей Евсеевич,Club América,полузащитник,2,23
Niger,Ковалев Иосиф Жоресович,Vélez Sarsfield,вратарь,10,-7
Korea (North),Бобров Софрон Валентинович,Rangers,вратарь,5,-8
Argentina,Рогов Никандр Демьянович,Köln,полузащитник,6,9
Anguilla,Селезнев Василий Богданович,San Lorenzo,нападающий,1,2
Egypt,Уваров Измаил Терентьевич,Espérance,защитник,1,8
Kazakhstan,Алексеев Нестор Гавриилович,Olimpia,полузащитник,5,17
Benin,Захаров Парфен Эдгардович,Boca Juniors,защитник,4,28
Saint Kitts And Nevis,Федосеев Феофан Ильич,Universitario,полузащитник,1,27
Micronesia,Веселов Нестор Венедиктович,São Paulo,вратарь,3,-1
Slovenia,Захаров Корнил Исидорович,Juventus,защитник,8,8
Suriname,Ширяев Ананий Феофанович,Sporting,защитник,9,1
Netherlands,Тетерин Наркис Ефимович,Panathinaikos,вратарь,1,-21
United States,Панов Изот Федосеевич,Vasco da Gama,защитник,9,10
Jordan,Вишняков Болеслав Владиславович,Sporting,защитник,3,29
Panama,Коновалов Ладимир Эдгардович,Peñarol,полузащитник,8,22
Moldova,Орехов Никита Артурович,Austria Wien,защитник,7,1
Reunion,Соболев Кузьма Феоктистович,Girondins de Bordeaux,вратарь,4,-13
Cameroon,Корнилов Софон Витальевич,América de Cali,полузащитник,10,26
Poland,Зимин Осип Арсеньевич,Napoli,нападающий,10,4
Lesotho,Волков Святослав Димитриевич,Atlético Madrid,защитник,4,15
Lebanon,Мясников Ферапонт Фёдорович,Aston Villa,нападающий,2,15
Nicaragua,Носов Демьян Евстигнеевич,Celtic,вратарь,5,-11
Norfolk Island,Карпов Аким Борисович,Athletic Bilbao,защитник,7,2
Latvia,Власов Григорий Федотович,América de Cali,защитник,6,19
Vatican City State,Чернов Федот Виленович,Red Star Belgrade,защитник,9,12
Jamaica,Тимофеев Гурий Арсеньевич,São Paulo,вратарь,6,-16
Equatorial Guinea,Доронин Симон Изотович,Grêmio,защитник,10,23
Israel,Большаков Моисей Давидович,Benfica,нападающий,4,12
Congo,Муравьев Андроник Вячеславович,Manchester United,полузащитник,7,16
Bulgaria,Попов Евгений Ааронович,Feyenoord,полузащитник,2,19
Solomon Islands,Стрелков Селиван Дмитриевич,Chelsea,вратарь,6,-12
Cuba,Ситников Пахом Елисеевич,Atlético Mineiro,защитник,8,19
Virgin Islands (British),Тихонов Демьян Виленович,Feyenoord,нападающий,9,25
Paraguay,Антонов Будимир Викентьевич,Olimpia,нападающий,2,30
Belarus,Волков Автоном Абрамович,Barcelona,полузащитник,9,10
Korea (North),Потапов Стоян Герасимович,Atlético Nacional,вратарь,7,-25
Qatar,Большаков Евстигней Гертрудович,Chelsea,защитник,10,11
Romania,Зиновьев Панкрат Валентинович,Chelsea,вратарь,9,-8
Paraguay,Сазонов Гурий Игнатьевич,Malmö,нападающий,1,11
Uganda,Лазарев Кондрат Дмитриевич,Monaco,полузащитник,5,14
Finland,Доронин Софрон Артурович,Roma,вратарь,6,-4
Mali,Громов Мир Теймуразович,Olimpia,нападающий,3,3
Poland,Соловьев Осип Владиленович,Libertad,нападающий,5,24
Botswana,Куликов Любомир Яковлевич,Chelsea,полузащитник,10,11
Cuba,Горшков Тимур Чеславович,Dinamo Zagreb,нападающий,9,7
Somalia,Мартынов Павел Богданович,Galatasaray,полузащитник,6,28
Nigeria,Суханов Мефодий Филимонович,Corinthians,нападающий,7,28
Barbados,Жданов Андрей Ильич,Borussia Mönchengladbach,полузащитник,4,5
Virgin Islands (U.S.),Крылов Ярополк Анатольевич,Monaco,защитник,9,18
Bosnia And Herzegowina,Панов Ювеналий Евсеевич,Ferencvárosi TC,защитник,3,26
Papua New Guinea,Кошелев Святополк Владиславович,Valencia,вратарь,4,-14
Mali,Михеев Гремислав Фомич,Porto,полузащитник,10,28
Djibouti,Егоров Аскольд Фокич,Hamburger SV,защитник,10,21
Dominican Republic,Дроздов Сократ Марсович,Colo-Colo,нападающий,10,2
Lithuania,Горшков Варлаам Валерианович,Internacional,вратарь,6,-11
Niger,Блинов Амос Гертрудович,Manchester United,вратарь,7,-9
China,Николаев Филимон Денисович,River Plate,полузащитник,1,25
Maldives,Козлов Назар Владиславович,Club América,защитник,1,28
Antigua And Barbuda,Меркушев Клавдий Адрианович,Universidad de Chile,защитник,5,13
Sao Tome,Капустин Исай Фокич,Partizan,полузащитник,1,7
Liberia,Соколов Анисим Гертрудович,Celtic,вратарь,1,-7
Viet Nam,Данилов Антип Даниилович,Manchester United,нападающий,2,4
Philippines,Иванов Демьян Игоревич,Chelsea,нападающий,5,20
Saint Lucia,Игнатьев Ладимир Геннадиевич,Tottenham Hotspur,нападающий,9,14
Pitcairn,Юдин Никон Бенедиктович,Ajax,полузащитник,4,27
Algeria,Волков Гордей Владиленович,Corinthians,защитник,9,17
Zambia,Туров Куприян Ермолаевич,Juventus,полузащитник,10,2
Uruguay,Карпов Владлен Давидович,Club Brugge,полузащитник,10,7
Tokelau,Яковлев Ким Зиновьевич,Ajax,вратарь,10,-15
Sri Lanka,Дроздов Архип Егорович,Porto,полузащитник,7,13
Malaysia,Воронцов Наум Евстигнеевич,Spartak Moscow,защитник,3,14
Palau,Семенов Эммануил Ефстафьевич,Austria Wien,вратарь,7,-27
Korea (South),Харитонов Радован Антонович,Everton,вратарь,3,-20
Sweden,Лазарев Карл Арсеньевич,Manchester United,защитник,2,4
Kenya,Куликов Самсон Устинович,Borussia Dortmund,вратарь,8,-24
Reunion,Евсеев Кузьма Валерьянович,Köln,нападающий,8,26
Bangladesh,Буров Владилен Денисович,Racing,защитник,5,30
Rwanda,Котов Станислав Демьянович,Manchester United,вратарь,1,-30
Guinea-bissau,Гуляев Будимир Филатович,Rapid Wien,защитник,5,28
Turkey,Юдин Гостомысл Афанасьевич,Porto,вратарь,9,-19
Korea (North),Соколов Исидор Харитонович,Slavia Prague,защитник,9,29
Bouvet Island,Щербаков Епифан Фёдорович,Panathinaikos,нападающий,1,28
Iran,Соловьев Нифонт Зиновьевич,Manchester United,полузащитник,10,18
Uzbekistan,Беляков Август Устинович,Boca Juniors,нападающий,5,22
Central African Rep,Белов Петр Юльевич,Internacional,защитник,1,20
Saint Kitts And Nevis,Селезнев Поликарп Владленович,Aston Villa,вратарь,10,-3
Northern Mariana Islands,Моисеев Карл Федосьевич,Porto,вратарь,1,-18
Armenia,Матвеев Лонгин Васильевич,Club Brugge,вратарь,8,-21
Belize,Кабанов Изяслав Фокич,Fiorentina,полузащитник,9,22
French S. Territories,Киселев Милен Харлампович,Galatasaray,полузащитник,8,30
Faroe Islands,Доронин Эмиль Аверьянович,Borussia Mönchengladbach,полузащитник,2,8
Jordan,Гурьев Владислав Гавриилович,Inter Milan,нападающий,1,7
United States,Соловьев Сидор Артемьевич,Universidad Católica,полузащитник,10,2
Jamaica,Белов Станислав Ануфриевич,Club América,нападающий,9,9
Chile,Исаев Ипатий Александрович,Ajax,защитник,3,17
Philippines,Никонов Прокл Демьянович,Universidad de Chile,защитник,9,12
Ethiopia,Шаров Ярослав Ильясович,Borussia Mönchengladbach,вратарь,4,-11
Afghanistan,Анисимов Ермил Матвеевич,Grasshopper Club Zürich,нападающий,6,8
Iraq,Колобов Карп Игоревич,Werder Bremen,нападающий,10,1
Guinea,Данилов Ладислав Аверьянович,Manchester United,нападающий,3,7
Rwanda,Ермаков Филарет Демьянович,Schalke,нападающий,10,16
Colombia,Карпов Савва Владиленович,Köln,полузащитник,2,16
French S. Territories,Горбачев Орест Чеславович,MTK Budapest,защитник,8,4
Bangladesh,Сазонов Аполлон Дорофеевич,Everton,полузащитник,8,23
Virgin Islands (U.S.),Денисов Викторин Аверьянович,São Paulo,нападающий,1,24
Kuwait,Горшков Пантелеймон Иосифович,Slavia Prague,нападающий,2,20
Bahrain,Ершов Ферапонт Демидович,Club América,нападающий,9,5
Kyrgyzstan,Дьячков Иосиф Фокич,Monaco,полузащитник,10,22
Bulgaria,Федотов Онуфрий Гурьевич,Estudiantes,защитник,9,20
Macau,Владимиров Владилен Августович,Juventus,вратарь,3,-21
China,Фомин Елисей Алексеевич,Chelsea,нападающий,9,3
Lebanon,Федосеев Евлампий Еремеевич,River Plate,защитник,7,22
Greenland,Калашников Трофим Елисеевич,Slavia Prague,нападающий,1,13
Burundi,Носков Добромысл Гаврилович,Palmeiras,защитник,10,15
Sweden,Романов Еремей Венедиктович,Borussia Dortmund,защитник,10,25
Ethiopia,Семенов Максим Ильич,Olympique Lyonnais,нападающий,10,1
Uruguay,Кудряшов Антонин Димитриевич,Ajax,защитник,5,25
Korea (South),Артемьев Захар Эдуардович,Werder Bremen,полузащитник,10,19
Tonga,Зимин Август Георгиевич,Schalke,защитник,6,25
Oman,Лазарев Илья Давидович,Girondins de Bordeaux,вратарь,3,-8
Lesotho,Лукин Евстафий Захарьевич,Feyenoord,полузащитник,1,16
Switzerland,Прохоров Марк Антонович,River Plate,полузащитник,5,9
Malta,Щукин Вацлав Абрамович,Aston Villa,нападающий,10,27
Turkey,Ермаков Дмитрий Авдеевич,Paris Saint-Germain,вратарь,9,-11
Bahrain,Моисеев Андроник Елизарович,Athletic Bilbao,полузащитник,6,13
Romania,Беляков Гурий Ефимьевич,América de Cali,нападающий,1,5
St. Helena,Гуляев Парфен Васильевич,Santos,нападающий,7,5
Maldives,Меркушев Всемил Демьянович,Rapid Wien,защитник,1,21
Kazakhstan,Зуев Спиридон Артемьевич,PSV Eindhoven,вратарь,3,-8
Switzerland,Носов Ярополк Харлампьевич,Ajax,нападающий,9,28
Burundi,Щукин Устин Трифонович,San Lorenzo,вратарь,4,-15
Nauru,Агафонов Аким Федосьевич,Paris Saint-Germain,полузащитник,6,17
Greenland,Лебедев Филипп Зиновьевич,Atlético Madrid,защитник,7,16
Portugal,Исаков Спиридон Иосипович,Levski Sofia,вратарь,10,-13
Kuwait,Макаров Ферапонт Тарасович,Schalke,защитник,3,5
Swaziland,Гурьев Юлий Авдеевич,Celtic,вратарь,9,-6
Martinique,Комаров Прокофий Елисеевич,Ajax,защитник,2,3
Turkey,Мартынов Евлампий Вячеславович,Spartak Moscow,защитник,7,11
Egypt,Блохин Дорофей Дмитриевич,Saint-Étienne,полузащитник,7,8
Romania,Егоров Светозар Исидорович,CSKA Sofia,полузащитник,1,24
Faroe Islands,Гришин Пимен Венедиктович,Werder Bremen,вратарь,1,-16
Tokelau,Никифоров Нестор Ефимович,Barcelona,полузащитник,9,20
Somalia,Куликов Кирилл Вилорович,Paris Saint-Germain,нападающий,6,20
American Samoa,Иванов Иосиф Тимурович,América de Cali,защитник,2,3
Cape Verde,Беляков Герасим Зиновьевич,Galatasaray,полузащитник,9,15
Bermuda,Бобылев Натан Матвеевич,Fenerbahçe,нападающий,6,18
Croatia,Кузьмин Прокл Аксёнович,Újpest,защитник,5,4
Burundi,Ермаков Модест Яковлевич,MTK Budapest,полузащитник,3,7
Korea (South),Константинов Савва Ануфриевич,Spartak Moscow,защитник,6,29
Canada,Воронов Владилен Артёмович,Estudiantes,нападающий,7,10
Czech Republic,Колесников Яков Харлампович,Athletic Bilbao,вратарь,5,-13
Saint Lucia,Михеев Радим Глебович,Red Star Belgrade,нападающий,9,13
Congo,Лаврентьев Евдоким Аксёнович,Celtic,нападающий,6,20
Saint Kitts And Nevis,Фадеев Мариан Вилорович,Steaua Bucureşti,защитник,3,21
United Kingdom,Дорофеев Селиверст Витальевич,Fenerbahçe,нападающий,9,9
Gibraltar,Лебедев Селиверст Елисеевич,Anderlecht,нападающий,3,1
Honduras,Марков Конон Васильевич,São Paulo,нападающий,7,8
Tanzania,Маслов Георгий Харламович,Valencia,вратарь,8,-25
Senegal,Куликов Юрий Анисимович,Hajduk Split,полузащитник,2,23
France,Горбачев Доброслав Венедиктович,Girondins de Bordeaux,защитник,4,28
Iceland,Козлов Силантий Чеславович,Hamburger SV,вратарь,1,-27
El Salvador,Пестов Севастьян Ааронович,Valencia,вратарь,7,-15
Philippines,Орехов Борислав Арсеньевич,Dinamo Bucureşti,нападающий,8,13
Australia,Горшков Сигизмунд Данилович,Vasco da Gama,вратарь,2,-9
New Caledonia,Агафонов Константин Архипович,Universidad de Chile,защитник,5,13
Myanmar,Лобанов Изяслав Эдуардович,Monaco,полузащитник,2,25
Greenland,Быков Святополк Афанасьевич,Dynamo Kyiv,полузащитник,2,1
Montserrat,Савельев Лука Архипович,Schalke,защитник,8,25
Denmark,Гусев Добромысл Гурьевич,Espérance,защитник,2,19
Seychelles,Журавлев Потап Игоревич,Paris Saint-Germain,полузащитник,7,8
Costa Rica,Жуков Гаврила Харламович,Feyenoord,нападающий,9,14
Bulgaria,Савельев Аристарх Викентьевич,Atlético Nacional,полузащитник,4,28
Nicaragua,Муравьев Викторин Бориславович,Palmeiras,защитник,2,7
Cambodia,Голубев Илья Игнатьевич,Juventus,вратарь,6,-17
Tanzania,Носков Август Гурьевич,Austria Wien,полузащитник,5,6
Belarus,Белоусов Олег Арсеньевич,Vélez Sarsfield,полузащитник,5,4
Malawi,Беляков Рубен Юлианович,São Paulo,полузащитник,6,10
Anguilla,Селезнев Иосиф Александрович,Schalke,полузащитник,6,26
Mongolia,Большаков Эраст Артемьевич,Linfield,вратарь,10,-7
Reunion,Горбачев Севастьян Алексеевич,Nacional,полузащитник,6,25
Mozambique,Осипов Устин Вячеславович,Everton,нападающий,2,24
Belarus,Филиппов Прокл Давидович,Tottenham Hotspur,полузащитник,9,15
Burkina Faso,Корнилов Кир Харлампьевич,Universitario,защитник,7,14
Uganda,Авдеев Константин Терентьевич,Universitario,полузащитник,2,1
Tokelau,Быков Афиноген Ефимьевич,Nacional,нападающий,9,25
Finland,Марков Вячеслав Харлампьевич,Panathinaikos,полузащитник,2,30
Somalia,Федосеев Самсон Феофанович,América de Cali,защитник,6,21
Vanuatu,Ермаков Конон Филатович,MTK Budapest,защитник,3,23
Zaire,Максимов Бажен Адамович,San Lorenzo,нападающий,8,22
Belgium,Щукин Светозар Исидорович,IFK Göteborg,нападающий,9,22
Suriname,Кулаков Лука Адрианович,Inter Milan,нападающий,10,20
Senegal,Савельев Елизар Зиновьевич,Roma,нападающий,6,22
United Arab Emirates,Хохлов Афиноген Витальевич,Levski Sofia,нападающий,2,16
Israel,Сазонов Исидор Ануфриевич,Athletic Bilbao,вратарь,1,-24
Pitcairn,Беляков Мирон Феоктистович,Ferencvárosi TC,нападающий,6,2
Antarctica,Гордеев Силантий Данилович,Libertad,вратарь,10,-8
St. Helena,Красильников Ипполит Владленович,Lazio,защитник,9,18
Gambia,Федотов Борис Харитонович,Sparta Prague,нападающий,6,17
Virgin Islands (U.S.),Маслов Николай Захарьевич,Flamengo,защитник,1,4
Saint Kitts And Nevis,Щербаков Эраст Бориславович,Atlético Nacional,защитник,6,8
Zambia,Савельев Севастьян Якубович,Boca Juniors,полузащитник,4,24
Belgium,Ларионов Лука Трофимович,Girondins de Bordeaux,защитник,9,6
Spain,Смирнов Всемил Виленович,Porto,полузащитник,5,24
Egypt,Беляев Лазарь Харитонович,Zamalek,нападающий,9,13
Ethiopia,Уваров Дорофей Адамович,Manchester United,защитник,7,19
Paraguay,Федосеев Милен Ермилович,Barcelona,защитник,5,15
Fiji,Григорьев Самуил Адрианович,IFK Göteborg,нападающий,2,30
Mauritania,Кулаков Доброслав Теймуразович,Dynamo Kyiv,нападающий,7,19
Nepal,Денисов Иларион Федосьевич,Werder Bremen,нападающий,6,12
Iraq,Ильин Аникей Гурьевич,Porto,полузащитник,8,19
Ethiopia,Колесников Арсений Фадеевич,Arsenal,вратарь,8,-19
Kenya,Захаров Вацлав Антипович,Torino,нападающий,6,5
Morocco,Фомин Роман Феоктистович,Chelsea,полузащитник,7,1
Tajikistan,Самойлов Ермил Ефимьевич,Universidad de Chile,вратарь,2,-18
Sweden,Дроздов Всемил Евстигнеевич,Spartak Moscow,вратарь,5,-6
Andorra,Тимофеев Елизар Харитонович,Universidad de Chile,защитник,1,1
Niger,Сысоев Адам Якубович,Olympique Marseille,полузащитник,9,6
Pitcairn,Марков Трофим Викторович,Porto,полузащитник,1,25
El Salvador,Сергеев Федот Всеволодович,Valencia,вратарь,1,-14
Andorra,Максимов Борис Аверьянович,Austria Wien,нападающий,6,10
New Caledonia,Устинов Ян Антипович,Universitario,полузащитник,9,18
Latvia,Мартынов Гурий Филиппович,Slavia Prague,полузащитник,5,15
Honduras,Григорьев Эммануил Федосьевич,Spartak Moscow,вратарь,8,-29
Mongolia,Зимин Аверьян Якубович,Atlético Mineiro,вратарь,3,-10
Bolivia,Агафонов Спиридон Архипович,Napoli,защитник,5,12
Mexico,Мамонтов Макар Артемьевич,Flamengo,защитник,2,16
Cambodia,Гуляев Иван Давыдович,Anderlecht,нападающий,9,8
Kenya,Маслов Мокей Августович,CSKA Sofia,полузащитник,3,24
Papua New Guinea,Морозов Владлен Ерофеевич,Palmeiras,вратарь,2,-28
Burundi,Степанов Тарас Брониславович,Vasco da Gama,полузащитник,7,8
Nauru,Голубев Эдуард Терентьевич,Saint-Étienne,защитник,3,11
Tanzania,Павлов Агафон Вячеславович,Galatasaray,защитник,9,14
Mozambique,Коновалов Кирилл Вячеславович,Grêmio,защитник,7,9
Monaco,Зимин Капитон Егорович,Club Brugge,защитник,9,26
Argentina,Громов Владимир Харлампович,Dinamo Bucureşti,полузащитник,2,14
Madagascar,Рожков Ефим Марсович,Athletic Bilbao,полузащитник,9,27
Mayotte,Соболев Ян Давидович,Manchester United,нападающий,10,14
Korea (South),Гурьев Яков Григорьевич,Rapid Wien,нападающий,6,20
Greenland,Мамонтов Михей Георгиевич,Cerro Porteño,полузащитник,1,29
Togo,Мамонтов Парфен Фёдорович,Valencia,нападающий,3,25
Macedonia,Романов Амвросий Демидович,Inter Milan,вратарь,4,-9
El Salvador,Трофимов Ратибор Федосеевич,IFK Göteborg,полузащитник,9,2
Mexico,Федосеев Каллистрат Юльевич,Girondins de Bordeaux,полузащитник,7,6
France,Крылов Митофан Димитриевич,Palmeiras,полузащитник,9,13
Venezuela,Федосеев Назар Жанович,Boca Juniors,защитник,9,18
Samoa,Аксенов Борислав Ярославович,Grêmio,полузащитник,9,13
Mozambique,Степанов Тимур Викентьевич,Hajduk Split,полузащитник,1,2
San Marino,Никонов Вячеслав Филатович,Manchester United,нападающий,4,15
Afghanistan,Дмитриев Сигизмунд Юлианович,Dynamo Kyiv,защитник,10,24
Montserrat,Большаков Лев Жоресович,Schalke,вратарь,8,-11
Paraguay,Емельянов Нифонт Арсеньевич,Boca Juniors,защитник,3,10
