Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Morocco,Давыдов Кирилл Ааронович,Olimpia,нападающий,9,19
Cocos Islands,Потапов Наум Валерьевич,Inter Milan,полузащитник,4,4
Bouvet Island,Фролов Агап Валерьянович,Köln,полузащитник,4,6
United Arab Emirates,Яковлев Викентий Филатович,Vasco da Gama,нападающий,9,2
Uzbekistan,Васильев Селиверст Валерианович,Everton,нападающий,1,22
Morocco,Овчинников Поликарп Трофимович,Bayern Munich,нападающий,5,3
Macedonia,Ермаков Самсон Витальевич,Celtic,нападающий,7,7
Moldova,Зиновьев Владислав Антипович,Paris Saint-Germain,защитник,10,6
Bosnia And Herzegowina,Дементьев Савелий Харламович,PSV Eindhoven,нападающий,10,5
Sierra Leone,Харитонов Клавдий Ермолаевич,Levski Sofia,нападающий,2,29
New Caledonia,Шестаков Аггей Гавриилович,A.C. Milan,нападающий,6,14
Djibouti,Жуков Терентий Анатольевич,Steaua Bucureşti,защитник,9,21
Qatar,Чернов Прохор Вячеславович,Rangers,вратарь,4,-20
Papua New Guinea,Никифоров Болеслав Ефимович,Olympiacos,защитник,5,2
Macau,Бобров Милен Феодосьевич,Universitario,нападающий,1,18
Zambia,Ковалев Ростислав Артёмович,Vélez Sarsfield,защитник,2,3
Turkmenistan,Шубин Ладимир Артемьевич,Valencia,защитник,4,26
Switzerland,Морозов Натан Вилорович,Libertad,защитник,2,25
Guinea-bissau,Титов Наркис Ерофеевич,Inter Milan,защитник,1,24
Bermuda,Ковалев Кир Денисович,Porto,нападающий,7,4
Cameroon,Ларионов Андрей Гордеевич,Corinthians,вратарь,7,-24
Argentina,Ковалев Мариан Данилович,Napoli,нападающий,8,30
Lesotho,Большаков Станимир Анисимович,Roma,вратарь,1,-7
Andorra,Аксенов Тимур Ануфриевич,Tottenham Hotspur,защитник,6,28
Macedonia,Поляков Наркис Тихонович,São Paulo,нападающий,7,8
Indonesia,Молчанов Самсон Валерьянович,Olympique Marseille,защитник,1,6
Palau,Емельянов Милий Афанасьевич,Palmeiras,вратарь,4,-21
